Date,Open,High,Low,Close,Volume
2021-09-03,35401.73,35422.71,35269.4,35369.09,251000526
2021-09-07,35373.24,35373.24,35060.9,35100,334626819
2021-09-08,35087.45,35175.15,34925.61,35031.07,292830900
2021-09-09,35013.08,35199.89,34847.3,34879.38,301857809
2021-09-10,34949.59,35104.25,34599.61,34607.72,366070143
2021-09-13,34665.5,34939.1,34665.5,34869.63,395732307
2021-09-14,34906.9,34990.36,34510.3,34577.57,370452133
2021-09-15,34580.95,34880.77,34522.03,34814.39,374859256
2021-09-16,34810.27,34943.55,34540.11,34751.32,320894591
2021-09-17,34737.86,34779.86,34519.63,34584.88,671000759
2021-09-20,34459.72,34459.72,33613.03,33970.47,506527994
2021-09-21,34025.61,34313.88,33914.02,33919.84,349921122
2021-09-22,34006.87,34440.42,34006.87,34258.32,349642017
2021-09-23,34296.3,34879.78,34296.3,34764.82,316183747
2021-09-24,34762.31,34857.06,34648.08,34798,283022934
2021-09-27,34739.27,35061.12,34739.27,34869.37,340233595
2021-09-28,34747.7,34798.21,34254.65,34299.99,444415702
2021-09-29,34360.08,34580.42,34305.96,34390.72,328733256
2021-09-30,34467.98,34557.37,33833.32,33843.92,406154846
2021-10-01,33930.7,34490.56,33785.54,34326.46,492420154
2021-10-04,34312.96,34410.28,33821.58,34002.92,457932000
2021-10-05,34035.25,34490.95,34035.25,34314.67,360947205
2021-10-06,34198.96,34432.68,33854.69,34416.99,380255397
2021-10-07,34509.72,34975.19,34509.72,34754.94,310485135
2021-10-08,34757.57,34842.62,34661.95,34746.25,270209916
2021-10-11,34723.79,34951.35,34486.51,34496.06,288326951
2021-10-12,34507.15,34611.24,34318.94,34378.34,351980410
2021-10-13,34372.71,34449.83,34115.1,34377.81,354800727
2021-10-14,34443.22,34923.83,34443.22,34912.56,371675488
2021-10-15,35023.63,35320.97,35023.63,35294.76,361468256
2021-10-18,35221.02,35327.57,35035.94,35258.61,358473544
2021-10-19,35325.37,35462.68,35290.12,35457.31,314648025
2021-10-20,35475.16,35669.69,35465.71,35609.34,301816501
2021-10-21,35520.32,35612.36,35442.53,35603.08,341046446
2021-10-22,35607.72,35765.02,35533.95,35677.02,377998070
2021-10-25,35692.62,35787.04,35629.37,35741.15,309879527
2021-10-26,35791.05,35892.92,35734.73,35756.88,380520849
2021-10-27,35835.43,35835.43,35490.43,35490.69,399667682
2021-10-28,35545.41,35742.25,35545.41,35730.48,383302764
2021-10-29,35712.28,35852.53,35633.2,35819.56,459864198
2021-11-01,35833.65,36009.74,35797.97,35913.84,344396909
2021-11-02,35935.11,36088.81,35884.13,36052.63,386051528
2021-11-03,36059.09,36178.51,35891.73,36157.58,320354913
2021-11-04,36107.46,36168.03,35986.48,36124.23,361561660
2021-11-05,36268.75,36484.75,36190.2,36327.95,534285391
2021-11-08,36416.46,36565.73,36334.42,36432.22,360384779
2021-11-09,36404.53,36416.98,36173.07,36319.98,303825543
2021-11-10,36299.25,36346.61,36009.5,36079.94,342971711
2021-11-11,36038.78,36108.17,35915.27,35921.23,328685610
2021-11-12,35963.78,36147.63,35934.59,36100.31,332877997
2021-11-15,36128.83,36236.07,36031.78,36087.45,326667902
2021-11-16,36076.18,36316.61,36076.18,36142.22,361539407
2021-11-17,36159.7,36159.7,35909.48,35931.05,408410897
2021-11-18,35901.69,35952.63,35654.39,35870.95,480002629
2021-11-19,35879.09,35879.09,35555.37,35601.98,492114769
2021-11-22,35631.41,35929.66,35615.55,35619.25,467890996
2021-11-23,35619.92,35841.52,35542.87,35813.8,432576496
2021-11-24,35752.31,35825.47,35591.03,35804.38,316649299
2021-11-26,35366.69,35366.69,34749.8,34899.34,422038092
2021-11-29,35017.71,35287.91,34895.89,35135.94,502302043
2021-11-30,35056.99,35056.99,34424.44,34483.72,764047083
2021-12-01,34678.94,35004.64,34006.98,34022.04,564592710
2021-12-02,34076.25,34759.65,34076.25,34639.79,532276830
2021-12-03,34692.78,34801.31,34264.57,34580.08,495631040
2021-12-06,34633.43,35356.75,34633.43,35227.03,484207074
2021-12-07,35423.99,35819.47,35423.99,35719.43,537278770
2021-12-08,35716.85,35840.52,35602.65,35754.75,439232631
2021-12-09,35722.26,35864.24,35577.14,35754.69,404814439
2021-12-10,35830.55,35982.69,35710.43,35970.99,404517391
2021-12-13,35958.93,35958.93,35609.53,35650.95,521552428
2021-12-14,35605.73,35779.47,35441.74,35544.18,522130312
2021-12-15,35549.35,35943.84,35389.3,35927.43,526041801
2021-12-16,36036.28,36189.83,35778.21,35897.64,569730409
2021-12-17,35800.11,35800.11,35284.26,35365.44,896157975
2021-12-20,35222.12,35222.12,34665.5,34932.16,462936403
2021-12-21,35069.5,35508.96,35069.5,35492.7,438602980
2021-12-22,35491.71,35764.67,35433.13,35753.89,366038462
2021-12-23,35782.42,36060.99,35782.42,35950.56,305178676
2021-12-27,35954.48,36306.61,35954.48,36302.38,285471040
2021-12-28,36302.99,36527.26,36302.99,36398.21,286735174
2021-12-29,36421.14,36571.55,36396.19,36488.63,251970628
2021-12-30,36522.48,36679.44,36372.13,36398.08,241218115
2021-12-31,36385.85,36484.94,36303.97,36338.3,257462417
2022-01-03,36321.59,36595.82,36246.45,36585.06,436598443
2022-01-04,36636,36934.84,36636,36799.65,543039217
2022-01-05,36722.6,36952.65,36400.39,36407.11,539088106
2022-01-06,36409.05,36464.19,36200.68,36236.47,449741445
2022-01-07,36249.59,36382.84,36111.53,36231.66,406797595
